dataset	wav_filename	start_time_s	duration_s	location	date	pst_or_master_tape_identifier
podcast_round1	60012.wav	34.126	2.918	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	36.816	2.588	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	42.55	2.055	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	44.606	2.41	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	46.636	3.425	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	51.381	3.248	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	59.19600000000001	2.106	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	61.125	3.425	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	70.59	6.546	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	86.094	4.136	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	92.97	2.207	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	102.867	2.918	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	105.988	2.943	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	124.029	2.9939999999999998	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	126.415	2.461	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	135.88	3.933	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	139.635	1.8010000000000002	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	141.183	2.918	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	154.556	3.628	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	159.428	1.598	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	160.849	1.624	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	162.77700000000004	1.75	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	173.56099999999995	2.258	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	184.498	2.639	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	187.112	3.324	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	215.252	2.283	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	219.718	2.309	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	224.311	1.827	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	231.989	2.298	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	234.009	2.206	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	240.71400000000003	2.904	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	245.202	2.983	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	60012.wav	247.86900000000003	1.821	Dabob Bay, Seattle, Washington	1960-10-28	60012
podcast_round1	92303001.wav	0.0	1.0590000000000002	Kikvika, Norway	1993-06-01	92303
podcast_round1	92303002.wav	0.0	1.107	Kikvika, Norway	1993-06-01	92303
podcast_round1	92303003.wav	0.0	1.306	Kikvika, Norway	1993-06-01	92303
podcast_round1	92303004.wav	0.0	1.466	Kikvika, Norway	1993-06-01	92303
podcast_round1	92303005.wav	0.0	2.026	Kikvika, Norway	1993-06-01	92303
podcast_round1	92303006.wav	0.0	1.706	Kikvika, Norway	1993-06-01	92303
podcast_round1	92303007.wav	0.0	1.233	Kikvika, Norway	1993-06-01	92303
podcast_round1	92303008.wav	0.0	2.613	Kikvika, Norway	1993-06-01	92303
podcast_round1	92303009.wav	0.0	1.548	Kikvika, Norway	1993-06-01	92303
podcast_round1	9230300A.wav	0.0	1.39	Kikvika, Norway	1993-06-01	92303
podcast_round1	9230300B.wav	0.0	1.376	Kikvika, Norway	1993-06-01	92303
podcast_round1	9230300C.wav	0.0	5.296	Kikvika, Norway	1993-06-01	92303
podcast_round1	9230300D.wav	0.0	1.315	Kikvika, Norway	1993-06-01	92303
podcast_round1	9230300E.wav	0.0	2.786	Kikvika, Norway	1993-06-01	92303
podcast_round1	9230300F.wav	0.0	1.327	Kikvika, Norway	1993-06-01	92303
podcast_round1	97745001.wav	0.0	1.7632	Oregon Coast Aquarium	1997-01-01	97745
podcast_round1	97745002.wav	0.0	1.7824	Oregon Coast Aquarium	1997-01-01	97745
podcast_round1	97745003.wav	0.0	1.669	Oregon Coast Aquarium	1997-01-01	97745
podcast_round1	97745004.wav	0.0	1.665	Oregon Coast Aquarium	1997-01-01	97745
podcast_round1	97745005.wav	0.0	2.066	Oregon Coast Aquarium	1997-01-01	97745
podcast_round1	97745006.wav	0.0	1.847	Oregon Coast Aquarium	1997-01-01	97745
podcast_round1	97753001.wav	0.0	1.2712	Oregon Coast Aquarium	1998-01-13	97753
podcast_round1	97753002.wav	0.0	1.3794	Oregon Coast Aquarium	1998-01-13	97753
podcast_round1	97753003.wav	0.0	0.9059	Oregon Coast Aquarium	1998-01-13	97753
podcast_round1	97753004.wav	0.0	1.47	Oregon Coast Aquarium	1998-01-13	97753
podcast_round1	97753005.wav	0.0	1.1982	Oregon Coast Aquarium	1998-01-13	97753
podcast_round1	97753006.wav	0.0	0.9878	Oregon Coast Aquarium	1998-01-13	97753
podcast_round1	97753007.wav	0.0	1.619	Oregon Coast Aquarium	1998-01-13	97753
podcast_round1	97753008.wav	0.0	0.6312	Oregon Coast Aquarium	1998-01-13	97753
podcast_round1	97753009.wav	0.0	0.8855	Oregon Coast Aquarium	1998-01-13	97753
podcast_round1	9775300A.wav	0.0	0.5991	Oregon Coast Aquarium	1998-01-13	97753
podcast_round1	9775300B.wav	0.0	0.6955	Oregon Coast Aquarium	1998-01-13	97753
podcast_round1	9775300C.wav	0.0	0.6809	Oregon Coast Aquarium	1998-01-13	97753
podcast_round1	9775300D.wav	0.0	0.7364	Oregon Coast Aquarium	1998-01-13	97753
podcast_round1	9775300E.wav	0.0	1.066699	Oregon Coast Aquarium	1998-01-13	97753
podcast_round1	97768001.wav	0.0	1.364	Oregon Coast Aquarium	1998-03-26	97768
podcast_round1	97768002.wav	0.0	0.87	Oregon Coast Aquarium	1998-03-26	97768
podcast_round1	97768003.wav	0.0	0.9	Oregon Coast Aquarium	1998-03-26	97768
podcast_round1	97768004.wav	0.0	1.095	Oregon Coast Aquarium	1998-03-26	97768
podcast_round1	97768005.wav	0.0	1.335	Oregon Coast Aquarium	1998-03-26	97768
podcast_round1	97768006.wav	0.0	3.816	Oregon Coast Aquarium	1998-03-26	97768
podcast_round1	97768007.wav	0.0	1.686	Oregon Coast Aquarium	1998-03-26	97768
podcast_round1	97768008.wav	0.0	1.163	Oregon Coast Aquarium	1998-03-26	97768
podcast_round1	97768009.wav	0.0	1.147	Oregon Coast Aquarium	1998-03-26	97768
podcast_round1	9776800A.wav	0.0	1.04	Oregon Coast Aquarium	1998-03-26	97768
podcast_round1	9776800B.wav	0.0	0.967	Oregon Coast Aquarium	1998-03-26	97768
podcast_round1	97781001.wav	0.0	1.5430000000000001	Oregon Coast Aquarium	1998-04-13	97781
